管片号码,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
120,1978,9,42,0.9,7914,13
121,1797,7,37,0.9,11372,14
122,1933,9,48,0.9,8456,15
123,1997,8,38,0.9,11792,16
124,2193,9,39,0.9,13394,18
125,2153,11,43,0.9,10695,17
126,2167,10,38,0.9,13726,17
127,2108,11,41,0.9,11181,17
128,2094,10,53,0.9,7833,16
129,2150,9,43,0.9,11030,16
130,2118,10,43,0.9,11577,15
131,2022,11,59,0.9,9379,14
132,2019,12,49,0.9,9426,13
133,2098,10,51,0.9,10990,12
134,2080,12,46,0.9,11277,11
135,2192,11,48,0.9,9809,11
136,2056,10,50,0.9,8800,10
137,1835,9,47,0.9,8118,10
138,1986,8,39,0.9,10433,9
139,1884,9,44,0.9,8386,9
140,1812,8,33,0.9,13017,8
141,2005,9,33,0.9,15691,8
142,1866,11,41,0.9,12431,7
143,1857,11,44,0.9,11973,6
144,1930,11,50,0.9,11359,6
145,1890,12,49,0.9,12234,6
146,1814,13,62,0.9,9137,6
147,1890,12,45,0.9,12375,6
148,1961,12,37,0.9,16293,6
149,1985,13,48,0.9,12502,6
150,1918,13,54,0.9,10543,5
151,1874,12,44,0.9,8716,5
152,1708,8,30,0.9,14218,5
153,1709,9,34,0.9,16520,5
154,1876,12,44,0.9,9865,5
155,1941,9,37,0.9,12820,5
156,1832,10,38,0.9,8572,5
157,1576,7,54,0.9,10274,5
158,2179,11,44,0.9,12894,4
159,2080,12,50,0.9,11895,4
160,2265,13,40,0.9,13270,4
161,2118,11,39,0.9,15770,4
162,2185,13,56,0.9,10635,5
163,2097,13,40,0.9,11800,5
164,2038,10,31,0.9,12501,5
165,1751,8,34,0.9,14932,4
166,1783,11,64,0.9,6948,4
167,1792,9,43,0.9,11176,3
168,1706,10,55,0.9,9301,2
169,1930,11,46,0.9,10644,2
170,2059,10,47,0.9,10066,2
171,1851,10,36,0.9,14279,2
172,1955,11,41,0.9,13281,2
173,1846,12,55,0.9,10568,1
174,2031,12,46,0.9,13601,1
175,1938,13,53,0.9,11906,1
176,1907,14,48,0.9,12929,1
177,2028,13,50,0.9,13389,1
178,1988,14,53,0.9,9623,1
179,1862,11,48,0.9,11817,1
180,1894,12,59,0.9,9624,1
